minute_of_day,down_total_mbps,up_total_mbps,down_long_form_streaming,down_short_form_video,down_video_calls,down_cloud_gaming,down_game_downloads,down_web_browsing,down_security_cameras,up_long_form_streaming,up_short_form_video,up_video_calls,up_cloud_gaming,up_game_downloads,up_web_browsing,up_security_cameras
75,7.174082670744491,1.593490467363977,5.410617796783057,0.0,0.0,0.0,0.0,0.21112613203894115,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.010556306601947058,1.4747218048263686
76,7.174082670744491,1.593490467363977,5.410617796783057,0.0,0.0,0.0,0.0,0.21112613203894115,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.010556306601947058,1.4747218048263686
77,7.174082670744491,1.593490467363977,5.410617796783057,0.0,0.0,0.0,0.0,0.21112613203894115,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.010556306601947058,1.4747218048263686
78,6.96295653870555,1.5829341607620298,5.410617796783057,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
79,7.147195500597091,1.592146108856607,5.410617796783057,0.0,0.0,0.0,0.0,0.1842389618915407,1.5523387419224934,0.10821235593566114,0.0,0.0,0.0,0.0,0.009211948094577036,1.4747218048263686
80,2.0350972452785174,1.4988597299941697,0.0,0.0,0.0,0.0,0.0,0.4827585033560241,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.024137925167801208,1.4747218048263686
81,1.8508582833869769,1.4896477818995928,0.0,0.0,0.0,0.0,0.0,0.2985195414644834,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.01492597707322417,1.4747218048263686
82,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
83,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
84,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
85,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
86,1.5523387419224934,1.4747218048263686,0.0,0.0,0.0,0.0,0.0,0.0,1.5523387419224934,0.0,0.0,0.0,0.0,0.0,0.0,1.4747218048263686
